Scenario	Replication	this.RunNumber	[Statistics1].SampleAverage/1[min]	[Statistics1].SampleMinimum/1[min]	[Statistics1].SampleMaximum/1[min]	[Statistics1].TotalTime	[Statistics1].TimeAverage	[Statistics1].NumberProcessed	"[Statistics1].EntityTimeAverage(""EntranceQ1Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ2Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ3Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ4Time"")"	"[Statistics1].EntityTimeAverage(""FoodQTime"")"	"[Statistics1].EntityTimeAverage(""RolarCoasterQTime"")"	"[Statistics1].EntityTimeAverage(""CarouselQTime"")"	"[Statistics1].EntityTimeAverage(""WaterSlideQTime"")"	"[Statistics1].EntityTimeAverage(""FerrisWheelQTime"")"	"[Statistics1].EntityTimeAverage(""CableCarQTime"")"
1	1	1	2144.278991	0.00277115	32143.62037	800.0[h]	35.79233976113[h]	49235	0.05736081722524636[h]	0.0545367657978288[h]	0.05094347906104523[h]	0.048225036442046613[h]	0.11584667217563109[h]	0.7928251382075574[h]	0.6131818476556378[h]	0.002566710952754932[h]	33.44197242638987[h]	0.256033506901012[h]
																		
2	1	2	2224.466267	5.49E-04	33261.17865	800.0[h]	38.971183196435014[h]	49287	0.06318574801377062[h]	0.059518610965659365[h]	0.05596852373514129[h]	0.05296770690430543[h]	0.14207910319789[h]	0.7934026611663471[h]	0.612044829330692[h]	0.0025539145344501473[h]	34.73024179645633[h]	0.25826550880202276[h]
																		
3	1	3	2261.998116	0.003547667	33116.62073	800.0[h]	38.25687740024188[h]	49498	0.06250551300332013[h]	0.059383482680293774[h]	0.05595077573904241[h]	0.05310470323095539[h]	0.15934501242376714[h]	0.7920743948554104[h]	0.6081837377653386[h]	0.0028287458307686853[h]	35.34093179267702[h]	0.2595931046351488[h]
																		
4	1	4	2062.707498	0.005980467	31876.53389	800.0[h]	31.853775897577705[h]	49590	0.06005661185781184[h]	0.057074728005601344[h]	0.05317203669489813[h]	0.04992929739676455[h]	0.10342592721462088[h]	0.7870385739819765[h]	0.6107920961240307[h]	0.002764976501809281[h]	32.093604315835854[h]	0.25689722816695243[h]
																		
5	1	5	2161.097093	7.34E-04	32721.80809	800.0[h]	38.15520076151815[h]	49554	0.07017430803338573[h]	0.06603902548058115[h]	0.06331973882617954[h]	0.060273041732016544[h]	0.13070580594472742[h]	0.7876702648150599[h]	0.6075172116444326[h]	0.0027165215413151966[h]	33.66950974981682[h]	0.25669922203734685[h]
																		
6	1	6	2119.315211	8.30E-05	35306.21795	800.0[h]	37.657656984951586[h]	50043	0.07230586077890283[h]	0.06896379070156877[h]	0.06689020802377721[h]	0.06224140428398235[h]	0.15468703008623116[h]	0.7838430461579431[h]	0.6073700971536691[h]	0.0026489173678358843[h]	32.9411966389629[h]	0.2577660362825234[h]
																		
7	1	7	2061.138521	3.92E-04	33164.85801	800.0[h]	34.81215989568473[h]	49382	0.06175103096422323[h]	0.058130713015218105[h]	0.05487436263994071[h]	0.05178575840894567[h]	0.13790846965740478[h]	0.7929285388054111[h]	0.6125972567585849[h]	0.0025605937101181742[h]	32.01758139872063[h]	0.2571599299614402[h]
																		
8	1	8	2164.613067	0.001575817	31291.16201	800.0[h]	37.04177650062117[h]	49837	0.07250815922360218[h]	0.07001002767815279[h]	0.06644015777853617[h]	0.06392291073219228[h]	0.12234265132397738[h]	0.7842551907526631[h]	0.6042128660656969[h]	0.0026139118794770958[h]	33.73452653519415[h]	0.25161919002987587[h]
																		
9	1	9	2132.202088	9.23E-04	32505.11696	800.0[h]	36.753624441148844[h]	49844	0.06693227118632337[h]	0.06366770278786477[h]	0.06102702747916827[h]	0.057581585019722735[h]	0.1471874120740158[h]	0.7846008978676509[h]	0.6047624816195825[h]	0.002622710880095898[h]	33.18596265831722[h]	0.25815081646408516[h]
																		
10	1	10	2258.993979	1.85E-04	33409.06888	800.0[h]	39.3877364548964[h]	49428	0.07041256698950997[h]	0.06765388388896731[h]	0.06396633812872599[h]	0.06094240698851514[h]	0.12021683346226993[h]	0.7888118782988983[h]	0.6075111274686423[h]	0.0027237061905925983[h]	35.30813653079252[h]	0.2556122574987192[h]
