Scenario	Replication	this.RunNumber	[Statistics1].SampleAverage/1[min]	[Statistics1].SampleMinimum/1[min]	[Statistics1].SampleMaximum/1[min]	[Statistics1].TotalTime	[Statistics1].TimeAverage	[Statistics1].NumberProcessed	"[Statistics1].EntityTimeAverage(""EntranceQ1Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ2Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ3Time"")"	"[Statistics1].EntityTimeAverage(""EntranceQ4Time"")"	"[Statistics1].EntityTimeAverage(""FoodQTime"")"	"[Statistics1].EntityTimeAverage(""RolarCoasterQTime"")"	"[Statistics1].EntityTimeAverage(""CarouselQTime"")"	"[Statistics1].EntityTimeAverage(""WaterSlideQTime"")"	"[Statistics1].EntityTimeAverage(""FerrisWheelQTime"")"	"[Statistics1].EntityTimeAverage(""CableCarQTime"")"
1	1	1	172.8547354	9.77E-04	794.5530001	800.0[h]	2.078130914587214[h]	33423	0.018273214733001635[h]	0.014616733879763429[h]	0.011259355682763369[h]	0.00841703546091015[h]	0.029986782217983652[h]	1.16063274011161[h]	0.845125164703015[h]	0.0024278568407151446[h]	0.4091838860540473[h]	0.2308757712955734[h]
																		
2	1	2	176.1583486	0.0012482	832.1857113	800.0[h]	2.171087449603994[h]	33115	0.018473988365695276[h]	0.014655747035297886[h]	0.010937092055446492[h]	0.008612005033435661[h]	0.032758176642743324[h]	1.169645853811826[h]	0.8457608450454429[h]	0.0021734412605566474[h]	0.4507241234361239[h]	0.2334341071053232[h]
																		
3	1	3	173.9680485	4.45E-04	795.4881921	800.0[h]	2.1457734662804606[h]	33617	0.018378430449119593[h]	0.014459530868822994[h]	0.011108576356192126[h]	0.008505750361002847[h]	0.03189307561262824[h]	1.1469973750562747[h]	0.8352162642410008[h]	0.0023419694437420892[h]	0.448266959636437[h]	0.23212767809928328[h]
																		
4	1	4	172.9776718	4.53E-04	881.8573614	800.0[h]	2.1103496933904733[h]	33364	0.01787669295505636[h]	0.013770647987018624[h]	0.010570558934438656[h]	0.007918483492170532[h]	0.030343172407468408[h]	1.1531482171067289[h]	0.8437232344456896[h]	0.0022612380302538364[h]	0.42348142403950173[h]	0.23070738373093358[h]
																		
5	1	5	174.18443	3.85E-04	767.566681	800.0[h]	2.144251786580071[h]	33512	0.01876306186643756[h]	0.014543304008539239[h]	0.011523441843154071[h]	0.00917028717781027[h]	0.03224845228438063[h]	1.1548306524598917[h]	0.8409954727200614[h]	0.002335513791568858[h]	0.43899747759112034[h]	0.23061359366208936[h]
																		
6	1	6	172.747014	0.001074733	781.5132879	800.0[h]	2.098373759910763[h]	33526	0.018996230498502013[h]	0.014727902614015975[h]	0.011326914267923047[h]	0.008427469884608635[h]	0.030197028211603666[h]	1.1563176856447321[h]	0.8416167333843636[h]	0.002324788441085528[h]	0.4145392500802017[h]	0.23095690612627334[h]
																		
7	1	7	175.4576614	6.49E-04	718.6577866	800.0[h]	2.134429482530127[h]	32616	0.017945961601676417[h]	0.014168243930892858[h]	0.010475762316288176[h]	0.007621527872175876[h]	0.03358991371432391[h]	1.1807128391713668[h]	0.8631971301278887[h]	0.0022956147851855204[h]	0.4095493650918495[h]	0.23446572961701698[h]
																		
8	1	8	172.5303741	0.00111105	857.6149945	800.0[h]	2.1360567023512993[h]	33758	0.019311391784095577[h]	0.015248772457113036[h]	0.011809628726729823[h]	0.009054677879136469[h]	0.030180279950867656[h]	1.14244852939501[h]	0.8254678605911849[h]	0.002321607277739925[h]	0.44228588476897934[h]	0.22793964777275877[h]
																		
9	1	9	173.0013379	0.003840117	787.9740002	800.0[h]	2.1096415737982936[h]	33602	0.017688014374954562[h]	0.01428165758433695[h]	0.01055856951905973[h]	0.008099927256256245[h]	0.03146909638106855[h]	1.154212212026613[h]	0.8351707296969447[h]	0.002379037221800621[h]	0.42940132628638267[h]	0.23100860871815615[h]
																		
10	1	10	174.2237194	0.00207955	723.5835917	800.0[h]	2.1161491151248932[h]	33412	0.01888738875255241[h]	0.014663053986309004[h]	0.01165992327313371[h]	0.008743301695797923[h]	0.03091379881579466[h]	1.149631582106097[h]	0.8443249127458111[h]	0.0022342716237595934[h]	0.4430415701842064[h]	0.23028080646598234[h]
