Scenario	Replication	this.RunNumber		[Statistics1].SampleAverage/1[min]		[Statistics1].SampleMinimum/1[min]		[Statistics1].SampleMaximum/1[min]		[Statistics1].TotalTime		[Statistics1].TimeAverage		[Statistics1].NumberProcessed		[Statistics1].EntityTimeAverage("EntranceQ1Time")		[Statistics1].EntityTimeAverage("EntranceQ2Time")		[Statistics1].EntityTimeAverage("EntranceQ3Time")		[Statistics1].EntityTimeAverage("EntranceQ4Time")		[Statistics1].EntityTimeAverage("FoodQTime")		[Statistics1].EntityTimeAverage("RolarCoasterQTime")		[Statistics1].EntityTimeAverage("CarouselQTime")		[Statistics1].EntityTimeAverage("WaterSlideQTime")		[Statistics1].EntityTimeAverage("FerrisWheelQTime")		[Statistics1].EntityTimeAverage("CableCarQTime")	
1	1	1.0		550.6566602764235		0.002049183333333333		3176.233341083333		800.0[h]		4.708403359471945[h]		8416.0		0.008803706509228456[h]		0.005481751121805025[h]		0.001676188682073827[h]		9.631041672607727E-4[h]		0.011775666661715785[h]		4.535852587858977[h]		3.140323535742344[h]		0.002188464595017428[h]		0.613650625261836[h]		0.5445886484224486[h]	

2	1	2.0		551.0304823683301		0.0018241		2979.755695483333		800.0[h]		4.83084486785495[h]		8317.0		0.007988372889496751[h]		0.005217136964049537[h]		0.0015292623346425652[h]		9.54567600630569E-4[h]		0.011903343086115448[h]		4.484390459716305[h]		3.1741510359170237[h]		0.0018301632394827187[h]		0.6278249496312431[h]		0.5563524593073427[h]	

3	1	3.0		538.5081595732104		0.0014150166666666666		2794.7701666666667		800.0[h]		4.714193435370633[h]		8632.0		0.008203912914961125[h]		0.004445096306154097[h]		0.0018206474609012968[h]		8.599468148233963E-4[h]		0.01344290859289722[h]		4.375945116058407[h]		3.110728073880302[h]		0.001966140372258264[h]		0.6041660201863537[h]		0.5407139743354495[h]	

4	1	4.0		560.6409001080497		4.1955E-4		2783.7101008		800.0[h]		4.855969012208984[h]		8208.0		0.008331194094379478[h]		0.004271430535385532[h]		0.0017430737700684972[h]		6.827957753614355E-4[h]		0.01292957595513184[h]		4.611643205869503[h]		3.2098982422357962[h]		0.0021878268408869394[h]		0.6206012109300884[h]		0.5611493640022599[h]	

5	1	5.0		557.1145536257833		8.453E-4		2877.8514579		800.0[h]		4.9371387709889225[h]		8216.0		0.008076086280056514[h]		0.004907016846566322[h]		0.0017852346992318505[h]		9.48362322602239E-4[h]		0.011757738650363806[h]		4.575991007050841[h]		3.1864622797152147[h]		0.001834407508891863[h]		0.6275502259758725[h]		0.5568767188338467[h]	

6	1	6.0		552.4501430817618		5.064166666666666E-4		2816.4795664166663		800.0[h]		5.004646009712372[h]		8285.0		0.007988112988030583[h]		0.004145214032991348[h]		0.0013372511702541407[h]		9.060732957822038E-4[h]		0.011919230662978605[h]		4.510844009349188[h]		3.1881303429478667[h]		0.0018507327485750681[h]		0.616538898094918[h]		0.5525387464815932[h]	

7	1	7.0		556.3436857684276		0.008242		2475.0820818666666		800.0[h]		4.9993828636074715[h]		8242.0		0.00834661080121463[h]		0.004893287604512118[h]		0.0016967411517565861[h]		8.602407719606891E-4[h]		0.013512446094900089[h]		4.572502803156067[h]		3.1774644928521716[h]		0.0020099654254293734[h]		0.6272558496996414[h]		0.5552997652997199[h]	

8	1	8.0		548.24290341811		6.456499999999999E-4		3382.7970703		800.0[h]		4.748381848507347[h]		8382.0		0.008049932939268005[h]		0.004734316106007586[h]		0.001628585676084997[h]		9.37096851851852E-4[h]		0.012751378476563534[h]		4.491101719780386[h]		3.141606376910387[h]		0.0019327381255468071[h]		0.6183998604131534[h]		0.5455399027421199[h]	

9	1	9.0		550.1024798735381		0.004735516666666666		3278.3845539666663		800.0[h]		4.896834576966592[h]		8340.0		0.008042035601219025[h]		0.00507887307214229[h]		0.0014701395738409275[h]		8.871337609912067E-4[h]		0.012538490735378353[h]		4.529635811723563[h]		3.136768203850245[h]		0.0022783515538902224[h]		0.6088433128055886[h]		0.5523554709974696[h]	

10	1	10.0		547.0998295333727		0.0019243166666666664		2961.8737738		800.0[h]		4.8770004567272505[h]		8462.0		0.00866757442356679[h]		0.005115818533574934[h]		0.0017627002458047746[h]		0.0010662637301727988[h]		0.013791387307275648[h]		4.450831911384717[h]		3.1545252046475687[h]		0.0021389855845413484[h]		0.6213418409592886[h]		0.5470861879515289[h]	
