Scenario	Replication	this.RunNumber		[Statistics1].SampleAverage/1[min]		[Statistics1].SampleMinimum/1[min]		[Statistics1].SampleMaximum/1[min]		[Statistics1].TotalTime		[Statistics1].TimeAverage		[Statistics1].NumberProcessed		[Statistics1].EntityTimeAverage("EntranceQ1Time")		[Statistics1].EntityTimeAverage("EntranceQ2Time")		[Statistics1].EntityTimeAverage("EntranceQ3Time")		[Statistics1].EntityTimeAverage("EntranceQ4Time")		[Statistics1].EntityTimeAverage("FoodQTime")		[Statistics1].EntityTimeAverage("RolarCoasterQTime")		[Statistics1].EntityTimeAverage("CarouselQTime")		[Statistics1].EntityTimeAverage("WaterSlideQTime")		[Statistics1].EntityTimeAverage("FerrisWheelQTime")		[Statistics1].EntityTimeAverage("CableCarQTime")	
1	1	1.0		133.07261218567447		9.773166666666665E-4		626.4464837166666		800.0[h]		1.7439572951765878[h]		33468.0		0.018256684573606047[h]		0.014602809765547183[h]		0.011244500381550209[h]		0.008411846590457881[h]		0.024524082070294387[h]		0.8446273090986719[h]		0.5419114631319514[h]		0.0010850279275809057[h]		0.38231300485328634[h]		0.22081306643276902[h]	

2	1	2.0		136.69915381932472		0.0010076333333333333		591.2026472333333		800.0[h]		1.8285216337564765[h]		33122.0		0.01847797471700579[h]		0.014649201079661745[h]		0.010927762026103812[h]		0.008610079715152392[h]		0.024626427454981312[h]		0.8561213653130164[h]		0.5477230433037784[h]		0.001129875921098096[h]		0.42352949575436305[h]		0.22347762800802262[h]	

3	1	3.0		134.85857988584053		0.00182055		575.8494579333333		800.0[h]		1.7868388248468958[h]		33626.0		0.01837601854314117[h]		0.014453353663616789[h]		0.011110086128293572[h]		0.008490457251415883[h]		0.02502158394493847[h]		0.8437879710329211[h]		0.5384161951039871[h]		0.0011425552070322591[h]		0.41415922954413775[h]		0.22231282435379848[h]	

4	1	4.0		133.56244123857044		0.0021686666666666664		619.3236629		800.0[h]		1.7824573696918902[h]		33371.0		0.017877787688553602[h]		0.013768674632748331[h]		0.010555702235399003[h]		0.007909101300005987[h]		0.02219026532787117[h]		0.8473357571547251[h]		0.5479781722349031[h]		0.0010789737822177597[h]		0.3872999257439426[h]		0.2210930109605395[h]	

5	1	5.0		134.68384424579742		9.511666666666666E-4		603.85459465		800.0[h]		1.7857071771061823[h]		33535.0		0.01876805658713118[h]		0.014541807640748479[h]		0.011521342993282353[h]		0.009179056525785665[h]		0.023289039541888153[h]		0.8445719454916573[h]		0.5411800198999128[h]		0.0011111878571475908[h]		0.410600898069546[h]		0.22077520588255994[h]	

6	1	6.0		133.6017914804337		8.3E-5		590.3697184333333		800.0[h]		1.74798038576899[h]		33545.0		0.01897755421443008[h]		0.014736351532949093[h]		0.011331238105596103[h]		0.00843225440928438[h]		0.021975612524883722[h]		0.8430346866741472[h]		0.5432689249957523[h]		0.0010934680923138072[h]		0.3922284394601706[h]		0.22170174315733437[h]	

7	1	7.0		134.1485018404906		0.0016029		540.0134604		800.0[h]		1.775774078604911[h]		32649.0		0.01799263938135761[h]		0.014194020465183598[h]		0.010492268890377784[h]		0.007658989426313875[h]		0.023228235608262673[h]		0.8615599813252968[h]		0.5520063853448133[h]		0.0010553018096861899[h]		0.37511579075534757[h]		0.22249488113110555[h]	

8	1	8.0		134.40298620390962		2.895833333333333E-4		621.9710029166666		800.0[h]		1.8119999315624529[h]		33802.0		0.01932609269292904[h]		0.015252106092325224[h]		0.011802844899611491[h]		0.009044057961256399[h]		0.023673695029592306[h]		0.839727718731872[h]		0.5409342411509203[h]		0.0011006894496463063[h]		0.4117540112914988[h]		0.2179496226586863[h]	

9	1	9.0		133.0428313443792		9.8775E-4		606.7814635666667		800.0[h]		1.7854778705180032[h]		33633.0		0.01771189112145979[h]		0.014283381465624075[h]		0.01055410732794677[h]		0.008101506205768477[h]		0.023708133105151286[h]		0.8419802833189713[h]		0.5409839389279733[h]		0.001028545302439403[h]		0.3887017443036622[h]		0.22089664449128912[h]	

10	1	10.0		134.7018564299266		0.003390183333333333		611.27842715		800.0[h]		1.8247451886933332[h]		33470.0		0.018896374293015418[h]		0.014667032620099288[h]		0.011638842761959266[h]		0.0087362948373917[h]		0.023436488364239984[h]		0.8392159399750503[h]		0.5406530002274222[h]		0.0011218614143428606[h]		0.4170084108505277[h]		0.2202945083209423[h]	
