Scenario	Replication	this.RunNumber		[Statistics1].SampleAverage/1[min]		[Statistics1].SampleMinimum/1[min]		[Statistics1].SampleMaximum/1[min]		[Statistics1].TotalTime		[Statistics1].TimeAverage		[Statistics1].NumberProcessed		[Statistics1].EntityTimeAverage("EntranceQ1Time")		[Statistics1].EntityTimeAverage("EntranceQ2Time")		[Statistics1].EntityTimeAverage("EntranceQ3Time")		[Statistics1].EntityTimeAverage("EntranceQ4Time")		[Statistics1].EntityTimeAverage("FoodQTime")		[Statistics1].EntityTimeAverage("RolarCoasterQTime")		[Statistics1].EntityTimeAverage("CarouselQTime")		[Statistics1].EntityTimeAverage("WaterSlideQTime")		[Statistics1].EntityTimeAverage("FerrisWheelQTime")		[Statistics1].EntityTimeAverage("CableCarQTime")	
1	1	1.0		152.39395620829808		3.431166666666666E-4		743.0754193333333		800.0[h]		2.0661251856639167[h]		33437.0		0.01825624926300048[h]		0.014622377433066493[h]		0.011243675804331863[h]		0.008408738084374262[h]		0.02148369341053491[h]		0.8746161304825545[h]		0.5907526263181012[h]		0.0011444602360575285[h]		0.4177649640916128[h]		0.26894896279292185[h]	

2	1	2.0		155.28387798002277		0.00251135		615.6097100833333		800.0[h]		2.094347926753118[h]		33120.0		0.01847658500052834[h]		0.014658206428098182[h]		0.010934802961797151[h]		0.0086099532372098[h]		0.022112085810394855[h]		0.8851423115925595[h]		0.5956705756992062[h]		0.001060918627918681[h]		0.45005993359792706[h]		0.27134204964217656[h]	

3	1	3.0		153.48923719278102		0.0013273166666666668		604.7677528		800.0[h]		2.1004154147044134[h]		33622.0		0.018359533320279644[h]		0.014463775514246638[h]		0.011108642060952145[h]		0.008501969481217635[h]		0.022015133090420295[h]		0.8738236189054432[h]		0.5867111903037696[h]		0.00123986102730355[h]		0.4398420565412117[h]		0.269275585869446[h]	

4	1	4.0		152.20612377377208		0.002684583333333333		585.1543823666667		800.0[h]		2.056475866228948[h]		33375.0		0.017870244894615073[h]		0.013782466313766138[h]		0.010569340552342906[h]		0.007909476165476482[h]		0.01903137701865999[h]		0.8761326286279094[h]		0.5953965691029601[h]		0.0011314855788181449[h]		0.416714445157045[h]		0.26825176488236396[h]	

5	1	5.0		152.91815557171185		9.511666666666666E-4		591.1656418166666		800.0[h]		2.0588597688187007[h]		33540.0		0.018759645010791418[h]		0.014522669447806938[h]		0.011527695886495437[h]		0.009180049598870338[h]		0.0210539201718678[h]		0.8719338175927592[h]		0.5906521619966224[h]		0.0011833585609222807[h]		0.4303836869320202[h]		0.26800695262078356[h]	

6	1	6.0		152.28469402780922		0.0018857499999999998		585.4857916333333		800.0[h]		2.0458311494709007[h]		33535.0		0.01898185624042876[h]		0.014718559442373623[h]		0.011326192453183215[h]		0.008434383960886641[h]		0.0195203474748024[h]		0.8731533052061262[h]		0.5916067455796835[h]		0.0010544441761592372[h]		0.419140957816641[h]		0.2687748017318983[h]	

7	1	7.0		153.51465059016022		2.44E-5		599.5846997166666		800.0[h]		2.0847132707957186[h]		32633.0		0.017976356149220125[h]		0.014193177057000964[h]		0.010508596297536225[h]		0.007600560478997045[h]		0.02264371802454572[h]		0.8941185394872907[h]		0.6034638123864358[h]		0.0010832553890659444[h]		0.4041299935419247[h]		0.27052509779548345[h]	

8	1	8.0		153.31281272802383		7.019666666666666E-4		603.3073861833333		800.0[h]		2.088239969092426[h]		33780.0		0.01932647916468485[h]		0.01526466840139628[h]		0.011811238790975951[h]		0.009042102565464444[h]		0.020240846313433324[h]		0.86984677580329[h]		0.5878786477615471[h]		0.0011731796253700414[h]		0.44432675563615165[h]		0.26506194912036923[h]	

9	1	9.0		152.16199377211018		7.6215E-4		554.92936945		800.0[h]		2.0853188606448465[h]		33618.0		0.017716738089903913[h]		0.014283580389697027[h]		0.010566970019938081[h]		0.00809453425307871[h]		0.02107505976831204[h]		0.8708886315008135[h]		0.5900167603537122[h]		0.0010474389001014666[h]		0.4226229919747092[h]		0.2679875788943836[h]	

10	1	10.0		152.8352588124665		9.633333333333333E-4		581.6543082833333		800.0[h]		2.087270753128703[h]		33454.0		0.01888981180028308[h]		0.014666095622944965[h]		0.011654087934709649[h]		0.008735198963228122[h]		0.02073072698763805[h]		0.8683723350614797[h]		0.5905001553004302[h]		0.0011250728722358402[h]		0.4340676761969424[h]		0.2678030292623703[h]	
